"","Cover","response",".group","SE","Year"
"2","No cover",1.01975027405143,"A",0.0681562202259664,"2021"
"11","Wheat",0.832831771805414,"B",0.0681562202259664,"2021"
"4","Clover",1.01693395798097,"A",0.0681562202259664,"2021"
"3","Wheat-Clover",0.859076428896508,"B",0.0681562202259664,"2021"
"5","SHM",0.956168926451379,"A",0.0681562202259664,"2021"
"12","No cover",1.0195416592194,"",0.0757022834130406,"2022"
"31","Wheat",0.987383049860087,"",0.0757022834130406,"2022"
"21","Clover",1.07282253203202,"",0.0757022834130406,"2022"
"51","Wheat-Clover",1.01375122290522,"",0.0757022834130406,"2022"
"41","SHM",1.0616528188042,"",0.0757022834130406,"2022"
"13","No cover",1.11765763563712,"",0.046816199914619,"2023"
"42","Wheat",1.11408408160462,"",0.046816199914619,"2023"
"52","Clover",1.10400361927869,"",0.046816199914619,"2023"
"22","Wheat-Clover",1.14261317807658,"",0.046816199914619,"2023"
"32","SHM",1.16737538530794,"",0.046816199914619,"2023"
