"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"2","No cover","Corn-Corn-Corn",16.6179996713333,3.11917105652586,3,6.69140526694472,26.5445940757219,"A"
"1","Wheat","Corn-Corn-Corn",11.6074141709167,3.59376028441248,3,0.17046503171284,23.0443633101205,"A"
"4","Clover","Corn-Corn-Corn",14.7331719601667,2.75517057162721,3,5.96498955406526,23.5013543662681,"A"
"3","Wheat-Clover","Corn-Corn-Corn",12.7389983494167,2.02631755002855,3,6.29035154899679,19.1876451498366,"A"
"5","SHM","Corn-Corn-Corn",14.33617206975,3.55428480979361,3,3.02485150889631,25.6474926306037,"A"
"10","No cover","Soybean-Soybean-Soybean",13.02518407475,3.11917105652586,3,3.09858967036136,22.9517784791386,"A"
"8","Wheat","Soybean-Soybean-Soybean",21.11131248175,3.59376028441249,3,9.67436334254613,32.5482616209538,"A"
"7","Clover","Soybean-Soybean-Soybean",16.87671934475,2.75517057162722,3,8.10853693864854,25.6449017508515,"A"
"9","Wheat-Clover","Soybean-Soybean-Soybean",20.8711267623333,2.02631755002854,3,14.4224799619135,27.3197735627532,"A"
"6","SHM","Soybean-Soybean-Soybean",22.8851067283333,3.55428480979361,3,11.5737861674796,34.196427289187,"A"
"12","No cover","Corn-Soybean-Corn",16.09476532925,3.11917105652586,3,6.16817092486139,26.0213597336386,"A"
"11","Wheat","Corn-Soybean-Corn",17.5956575853423,3.78815594661209,3,5.54005468920814,29.6512604814765,"A"
"13","Clover","Corn-Soybean-Corn",16.2784058485,2.75517057162721,3,7.5102234423986,25.0465882546014,"A"
"15","Wheat-Clover","Corn-Soybean-Corn",14.62832576275,2.02631755002855,3,8.17967896233009,21.0769725631699,"A"
"14","SHM","Corn-Soybean-Corn",22.4704410683333,3.55428480979361,3,11.1591205074796,33.781761629187,"A"
"17","No cover","Corn-Cotton-Soybean",12.8621692046667,3.11917105652586,3,2.93557480027807,22.7887636090553,"A"
"16","Wheat","Corn-Cotton-Soybean",14.7823874399167,3.59376028441248,3,3.34543830071284,26.2193365791205,"A"
"19","Clover","Corn-Cotton-Soybean",12.8360997724167,2.75517057162722,3,4.06791736631523,21.6042821785181,"A"
"18","Wheat-Clover","Corn-Cotton-Soybean",15.2595297949167,2.02631755002854,3,8.81088299449681,21.7081765953365,"A"
"20","SHM","Corn-Cotton-Soybean",13.1165709580833,3.55428480979362,3,1.80525039722962,24.427891518937,"A"
