"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"4","No cover","Corn-Corn-Corn",0.17146017699115,0.0374058234435603,3,0.0524181523770971,0.290502201605203,"A"
"2","Wheat","Corn-Corn-Corn",0.179203539823009,0.0374058234435603,3,0.0601615152089556,0.298245564437062,"A"
"5","Clover","Corn-Corn-Corn",0.210176991150442,0.0374058234435603,3,0.0911349665363893,0.329219015764495,"A"
"1","Wheat-Clover","Corn-Corn-Corn",0.196902654867256,0.0374058234435603,3,0.0778606302532032,0.315944679481309,"A"
"3","SHM","Corn-Corn-Corn",0.169247787610619,0.0374058234435603,3,0.050205762996566,0.288289812224672,"A"
"8","No cover","Soybean-Soybean-Soybean",0.377423815720332,0.0600910317148427,3,0.186187333858744,0.568660297581919,"A"
"9","Wheat","Soybean-Soybean-Soybean",0.1806640625,0.056471171376622,3,0.000947591797426456,0.360380533202574,"AB"
"6","Clover","Soybean-Soybean-Soybean",0.16015625,0.0564711713766219,3,-0.0195602207025732,0.339872720702574,"B"
"7","Wheat-Clover","Soybean-Soybean-Soybean",0.31640625,0.0564711713766219,3,0.136689779297427,0.496122720702574,"AB"
"10","SHM","Soybean-Soybean-Soybean",0.181640625,0.056471171376622,3,0.00192415429742623,0.361357095702574,"AB"
"15","No cover","Corn-Soybean-Corn",0.250380254424778,0.0669689306905887,3,0.0372552283797136,0.463505280469843,"A"
"12","Wheat","Corn-Soybean-Corn",0.235792311946902,0.0669689306905888,3,0.0226672859018375,0.448917337991967,"A"
"14","Clover","Corn-Soybean-Corn",0.338633849557522,0.0669689306905888,3,0.125508823512457,0.551758875602587,"A"
"13","Wheat-Clover","Corn-Soybean-Corn",0.199754563053097,0.0669689306905887,3,-0.0133704629919678,0.412879589098162,"A"
"11","SHM","Corn-Soybean-Corn",0.207152240044248,0.0669689306905887,3,-0.00597278600081708,0.420277266089312,"A"
"19","No cover","Corn-Cotton-Soybean",0.244051846590908,0.0794127414399742,3,-0.00867493899718794,0.496778632179005,"A"
"18","Wheat","Corn-Cotton-Soybean",0.270951704545454,0.0794127414399742,3,0.0182249189573578,0.52367849013355,"A"
"17","Clover","Corn-Cotton-Soybean",0.321022727272727,0.0794127414399743,3,0.0682959416846304,0.573749512860823,"A"
"16","Wheat-Clover","Corn-Cotton-Soybean",0.347116988170853,0.0851867195557353,3,0.0760148272614634,0.618219149080242,"A"
"20","SHM","Corn-Cotton-Soybean",0.310724431818181,0.0794127414399742,3,0.057997646230085,0.563451217406278,"A"
