"","V1","V2","V3"
"Depth","0-10 cm","10-20 cm","20-30 cm"
"X","119.5","120.5","121.5"
"Plot","260.5","260.5","260.5"
"GMC","0.1973053","0.1815668","0.2049179"
"BD","1.323993","1.399310","1.352180"
"MBC",NA,"177.2279",NA
"pH","6.635063","6.712375","6.648813"
"AG","4.485517","1.593421","1.104363"
"BG","64.90438","19.24167","13.91548"
"CB","25.342029"," 4.789138"," 2.853504"
"LAP","52.592280","17.554037"," 8.201527"
"NAG","22.949954"," 9.887880"," 7.295312"
"PHOS","142.5002","124.1552","114.1262"
"XYL","12.431813"," 5.427625"," 4.922584"
"sep","3.843163",NA,NA
"asep","4.813861",NA,NA
"bac_richness","1560.812",NA,NA
"bac_shannon.div","6.805019",NA,NA
"bac_simpson.div","0.9978162",NA,NA
"bac_invsimpson.div","550.9135",NA,NA
"bac_evenness","0.9370282",NA,NA
"fun_richness","660.575",NA,NA
"fun_shannon.div","4.774101",NA,NA
"fun_simpson.div","0.9659833",NA,NA
"fun_invsimpson.div","42.92652",NA,NA
"fun_evenness","0.7358505",NA,NA
"amf_relabund","0.02352644",NA,NA
"amf_richness","52.525",NA,NA
"amf_shannon.div","3.59716",NA,NA
"amf_simpson.div","0.962688",NA,NA
"amf_invsimpson.div","30.94465",NA,NA
"amf_evenness","0.9245885",NA,NA
"plantpath_relabund","0.1981595",NA,NA
"plantpath_richness","67.3875",NA,NA
"plantpath_shannon.div","2.777755",NA,NA
"plantpath_simpson.div","0.8639502",NA,NA
"plantpath_invsimpson.div","8.763147",NA,NA
"plantpath_evenness","0.6614299",NA,NA
"soilsap_relabund","0.1647835",NA,NA
"soilsap_richness","58.5",NA,NA
"soilsap_shannon.div","2.656923",NA,NA
"soilsap_simpson.div","0.8500761",NA,NA
"soilsap_invsimpson.div","8.067283",NA,NA
"soilsap_evenness","0.6557947",NA,NA
"littersap_relabund","0.1061934",NA,NA
"littersap_richness","47.95",NA,NA
"littersap_shannon.div","2.608231",NA,NA
"littersap_simpson.div","0.8225197",NA,NA
"littersap_invsimpson.div","9.036293",NA,NA
"littersap_evenness","0.6786548",NA,NA
"orgC","9.409375","4.380500","3.099500"
"totN","0.995875","0.532000","0.456375"
"POC","1.3063844","0.3137633","0.1728467"
"MAOC",NA,NA,NA
"sandC",NA,NA,NA
"POM","0.660000","0.276250","0.144375"
"MAOM","85.2775","86.0025","90.3375"
"sandM","14.862500","14.928750"," 9.911875"
"POMc","19.59750","14.28375","12.97875"
"MAOMc",NA,NA,NA
"sandc",NA,NA,NA
"poxc",NA,NA,NA
"noN","4.681670","6.392603","4.022615"
"nhN","2.346451","1.465561","1.340144"
"inorgN","7.028121","7.858164","5.362759"
"P","15.36604","10.14118","11.87503"
"K","70.65821","45.18028","45.45090"
"Ca","1077.8969"," 878.7304","1104.4394"
"Mg","50.52908","42.74301","75.38764"
"Mn","37.40342","24.49867","13.22071"
"Zn","1.997031","1.666719","1.622850"
"Al","118.7256","120.0809","122.8917"
"B","0.2484750","0.1681563","0.1395500"
"Cu","0.3794938","0.4142187","0.4389688"
"Fe","12.38356","11.72964","14.55388"
"Na","5.321619","5.298869","7.339431"
"Ni","0.4579313","0.3009000","0.2412500"
"Si","32.87659","35.86118","64.76143"
"WEC","37.75140","20.26033","19.58730"
"WEN","9.135705","4.852248","3.411295"
"WAS","49.10487","71.74292","75.43911"
"MWD4","3.591945","3.856148","4.307239"
"MWD5","3.680987","3.962177","4.569287"
"CCpc",NA,NA,NA
"CCc",NA,NA,NA
"CCn",NA,NA,NA
"CCcn",NA,NA,NA
"Wc",NA,NA,NA
"Wn",NA,NA,NA
"Wcn",NA,NA,NA
"inputC","0","0","0"
"inputN","0","0","0"
"Weeds",NA,NA,NA
"Wheat",NA,NA,NA
"Clover",NA,NA,NA
"Radish",NA,NA,NA
"Vetch",NA,NA,NA
"Grass",NA,NA,NA
"Yield",NA,NA,NA
"tissue.N.percent",NA,NA,NA
"tissue.P.percent",NA,NA,NA
"tissue.K.percent",NA,NA,NA
"tissue.Ca.percent",NA,NA,NA
"tissue.Mg.percent",NA,NA,NA
"tissue.S.percent",NA,NA,NA
"tissue.B.ppm",NA,NA,NA
"tissue.Cu.ppm",NA,NA,NA
"tissue.Fe.ppm",NA,NA,NA
"tissue.Mn.ppm",NA,NA,NA
"tissue.Zn.ppm",NA,NA,NA
"tissue.Na.ppm",NA,NA,NA
