"","V1","V2","V3","V4","V5"
"agb","0 (NA)","1.37 ± 0.4 A (0.62)","0.83 ± 0.31 B (0)","1.71 ± 0.45 A (1)","1.34 ± 0.4 A (0.58)"
"weeds","0.66 ± 0.06 C (0)","0.33 ± 0.06 A (0.87)","0.46 ± 0.06 B (0.54)","0.37 ± 0.06 AB (0.76)","0.28 ± 0.06 A (1)"
"inputC","0.13 ± 0.06 C (0)","0.61 ± 0.13 A (0.8)","0.42 ± 0.11 B (0.49)","0.72 ± 0.14 A (1)","0.58 ± 0.12 AB (0.75)"
"inputN","5.6 ± 2.04 C (0)","21.84 ± 4.02 B (0.58)","25.51 ± 4.35 AB (0.72)","31.6 ± 4.84 A (0.93)","33.42 ± 4.97 A (1)"
"inputCN","0.02 ± 0 B (0.56)","0.03 ± 0 C (0)","0.02 ± 0 A (0.99)","0.02 ± 0 B (0.48)","0.02 ± 0 A (1)"
"Yield","1.05 ± 0.06 AB (0.86)","0.98 ± 0.06 C (0)","1.06 ± 0.06 A (1)","1.01 ± 0.06 BC (0.31)","1.06 ± 0.06 AB (0.97)"
"V7","1.41","2.87","3.74","4.48","5.3"
"inorgN","7.81 ± 1.06 AB (0.56)","7.05 ± 1.01 C (0)","8.42 ± 1.1 A (1)","7.63 ± 1.05 BC (0.42)","8.43 ± 1.1 A (1)"
"GMC","0.2 ± 0.01 B (0)","0.2 ± 0.01 A (0.8)","0.2 ± 0.01 AB (0.37)","0.2 ± 0.01 AB (0.71)","0.21 ± 0.01 A (1)"
"BG","56.67 ± 4.75 B (0)","60.24 ± 4.9 AB (0.48)","62.53 ± 4.99 A (0.79)","63.38 ± 5.03 A (0.9)","64.11 ± 5.06 A (1)"
"NAG","19.88 ± 1.99 B (0)","22.03 ± 2.21 AB (0.54)","22.63 ± 2.27 A (0.69)","23.88 ± 2.4 A (1)","22.9 ± 2.3 A (0.76)"
"PHOS","132.98 ± 8.6 NA (0)","136.13 ± 8.6 NA (0.34)","135.79 ± 8.6 NA (0.3)","142.3 ± 8.6 NA (1)","141.87 ± 8.6 NA (0.95)"
"WEC","64 ± 3.54 B (0)","65.2 ± 3.54 B (0.27)","65.67 ± 3.54 AB (0.38)","68.4 ± 3.54 A (1)","66.87 ± 3.54 AB (0.65)"
"orgC","9.44 ± 0.3 C (0)","9.63 ± 0.3 C (0.27)","9.7 ± 0.3 BC (0.36)","10.15 ± 0.3 A (1)","10.12 ± 0.3 AB (0.95)"
"totN","1.01 ± 0.02 C (0)","1.02 ± 0.02 BC (0.11)","1.04 ± 0.02 ABC (0.49)","1.07 ± 0.02 AB (0.83)","1.08 ± 0.02 A (1)"
"POC","2.91 ± 0.45 B (0)","3.22 ± 0.47 AB (0.76)","3.04 ± 0.46 AB (0.31)","3.33 ± 0.48 A (1)","3.11 ± 0.46 AB (0.49)"
"MAOC","5.85 ± 0.36 B (0)","5.94 ± 0.36 B (0.16)","6.07 ± 0.36 AB (0.4)","6.25 ± 0.36 AB (0.72)","6.41 ± 0.36 A (1)"
"V18","0.56","3.72","5.07","8.59","8.81"
"overallsum"," 1.97"," 6.59"," 8.81","13.07","14.11"
