"","V1","V2","V3","V4"
"foliarN","1.2 ± 0.07 C","1.77 ± 0.1 A","1.42 ± 0.08 BC","1.65 ± 0.09 AB"
"foliarP","1.71 ± 0.11 C","2.61 ± 0.11 A","2.15 ± 0.11 B","2.85 ± 0.11 A"
"foliarK","1.23 ± 0.06 B","1.69 ± 0.06 A","1.56 ± 0.06 A","1.23 ± 0.06 B"
"foliarCa","2.79 ± 0.25 A","1.41 ± 0.25 B","2.24 ± 0.25 A","1.46 ± 0.25 B"
"foliarMg","1.39 ± 0.09 NA","1.78 ± 0.11 NA","1.53 ± 0.1 NA","1.43 ± 0.09 NA"
"foliarB","1.42 ± 0.23 B","2.45 ± 0.23 A","1.56 ± 0.23 AB","2.04 ± 0.23 AB"
"foliarFe","4.64 ± 0.69 A","4.71 ± 0.7 A","4.76 ± 0.71 A","2.82 ± 0.42 B"
"foliarMn","5.89 ± 1.4 A","4.71 ± 1.12 AB","5.04 ± 1.2 AB","3.91 ± 0.93 B"
"foliarZn","1.89 ± 0.18 B","2.86 ± 0.27 A","2.25 ± 0.21 AB","2.2 ± 0.21 AB"
